Year,Inflation,Unemployment,Population_Growth,Exports,Imports,FDI,Exchange_Rate
2025,1.47526275490609,4.486839410207759,0.7456417669657518,19.806250664417366,18.8250294741721,2.105973131337855,16528.541005225692
2026,1.085055942014508,4.457434215026408,0.7133716448418063,19.368264563036643,18.488929435787327,2.151171930439761,16934.61139430613
2027,0.694849129122923,4.428029019845058,0.6811015227178606,18.93027846165592,18.152829397402552,2.1963707295416675,17340.68178338657
2028,0.3046423162313379,4.398623824663706,0.648831400593915,18.492292360275197,17.816729359017774,2.241569528643574,17746.75217246701
2029,-0.08663355642158818,4.369138067303776,0.6164728671764793,18.053106296972885,17.479708498610027,2.2868921600717864,18153.935083161366
2030,-0.47684036931317325,4.3397328721224255,0.5842027450525337,17.615120195592162,17.143608460225252,2.332090959173693,18560.00547224181
2031,-0.8670471822047583,4.310327676941075,0.551932622928588,17.17713409421144,16.807508421840478,2.3772897582755994,18966.075861322246
2032,-1.2572539950963402,4.280922481759724,0.5196625008046426,16.739147992830716,16.471408383455703,2.4224885573775055,19372.146250402682
2033,-1.648529867749271,4.2514367243997935,0.48730396738720677,16.299961929528404,16.134387523047955,2.4678111888057184,19779.329161097045
2034,-2.0387366806408562,4.222031529218443,0.45503384526326107,15.861975828147681,15.798287484663177,2.513009987907625,20185.39955017748
2035,-2.428943493532438,4.192626334037092,0.42276372313931565,15.423989726766958,15.462187446278406,2.558208787009531,20591.469939257917
2036,-2.819150306424023,4.163221138855742,0.39049360101536995,14.986003625386235,15.126087407893628,2.6034075861114374,20997.54032833836
2037,-3.210426179076954,4.133735381495812,0.35813506759793395,14.54681756208392,14.78906654748588,2.6487302175396508,21404.723239032715
2038,-3.600632991968536,4.104330186314462,0.3258649454739885,14.1088314607032,14.452966509101108,2.693929016641557,21810.79362811315
2039,-3.990839804860121,4.07492499113311,0.29359482335004283,13.670845359322476,14.11686647071633,2.7391278157434633,22216.864017193595
2040,-4.381046617751703,4.04551979595176,0.2613247012260976,13.232859257941756,13.780766432331555,2.7843266148453694,22622.934406274035
