Factor,Model,MAE,RMSE,R2
Inflation,Linear Regression,1.2785090798468404,1.3529709389239188,-0.6965769184846344
Inflation,Prophet,1.303530070468163,1.3712714246102564,-0.7427836208890695
Inflation,Exponential Smoothing,1.2785086801377048,1.3529706818139768,-0.6965762736714469
Unemployment,Linear Regression,1.8192729064039408,1.8588544555086988,-24.802246887790027
Unemployment,Prophet,1.8154901735316002,1.8552188041646316,-24.70141464042036
Unemployment,Exponential Smoothing,0.6097782151980996,0.6249929343108788,-1.9168692903752564
Population_Growth,Linear Regression,0.11890627949122598,0.1396136144772845,-5.04046972236049
Population_Growth,Prophet,0.08657536602883258,0.09543615683120023,-1.82254616989826
Population_Growth,Exponential Smoothing,0.07882099664373794,0.0905999519795923,-1.5437305464853153
Exports,Linear Regression,2.4267412260128842,2.850593884759471,-0.5095200855539732
Exports,Prophet,2.4054975445760887,2.84103677340239,-0.4994151963922875
Exports,Exponential Smoothing,3.784453916126739,4.08521659773602,-2.1002618293652513
Imports,Linear Regression,1.7918299976766416,2.578575016268158,-0.9085230652091936
Imports,Prophet,1.7866549016165418,2.5646862792582614,-0.8880190358553934
Imports,Exponential Smoothing,1.7918299705455394,2.578574939178493,-0.9085229510939163
FDI,Linear Regression,0.4054245995374638,0.4341288146544618,-17.09866373324348
FDI,Prophet,0.4089948553452338,0.4375803927851072,-17.387597718645885
FDI,Exponential Smoothing,0.5803359803644881,0.595422239887899,-33.045474425418384
Exchange_Rate,Linear Regression,630.0218802928764,676.3886329140331,-0.5688711179756638
Exchange_Rate,Prophet,629.638471296996,676.1611665070842,-0.567816087028381
Exchange_Rate,Exponential Smoothing,651.0264846154674,702.308399993137,-0.6914158376255655
