Year,exchange_rate
2024,15855.4482866711
2023,15236.8846620506
2022,14849.8539362105
2021,14308.1439011897
2020,14582.2034678177
2019,14147.6713605454
2018,14236.9387734818
2017,13380.8338788891
2016,13308.3268020542
2015,13389.4129365079
2014,11865.2112962963
2013,10461.24
2012,9386.62916666667
2011,8770.43333333333
2010,9090.43333333333
2009,10389.9375
2008,9698.9625
2007,9141.0
2006,9159.31666666667
2005,9704.74166666666
2004,8938.85
2003,8577.13333333334
2002,9311.19166666667
2001,10260.85
2000,8421.775
1999,7855.15
1998,10013.6225
1997,2909.38
1996,2342.29629166667
1995,2248.607975
1994,2160.753675
1993,2087.10386666667
1992,2029.92083333333
1991,1950.3175
1990,1842.81333333333
1989,1770.05916666667
1988,1685.70416666667
1987,1643.84833333333
1986,1282.55999999975
1985,1110.57999999967
1984,1025.9448333315
1983,909.264833332
1982,661.42074999925
1981,631.756666664167
1980,626.993999998583
1979,623.055499999083
1978,442.045416665917
1977,414.999999999
1976,414.999999999
1975,414.999999999
1974,415.0
1973,415.0
1972,415.0
1971,391.875
1970,362.833333333333
1969,326.0
1968,296.291666666667
1967,149.583333333333
